13842.603 DavidsonIt: 117 1 118  +4.248407621236128e+00 +0.000000000000000e+00 +1.000000000000000e+00 +8.487616325655958e-10 +1.243449787580175e-14 
13844.221 DavidsonIt: 117 2 118  +4.248407632785012e+00 +0.000000000000000e+00 +1.000000000000000e+00 +1.652502780442736e-09 +4.759161953415969e-10 
13845.841 DavidsonIt: 117 3 118  +4.248407727559259e+00 +0.000000000000000e+00 +1.000000000000008e+00 +2.484785157327073e-09 +1.988259334950726e-09 
13847.466 DavidsonIt: 117 4 118  +4.679772533982594e+00 +0.000000000000000e+00 +1.000000000000006e+00 +2.934799914124529e-09 +3.159721373435787e-10 
13849.078 DavidsonIt: 117 5 118  +6.758859119878304e+00 +0.000000000000000e+00 +1.000000000000000e+00 +3.883148483405906e-09 +9.769962616701378e-15 
13850.700 DavidsonIt: 117 6 118  +6.758859187041424e+00 +0.000000000000000e+00 +9.999999999999999e-01 +4.614789713517742e-09 +5.371303402057492e-10 
13852.314 DavidsonIt: 117 7 118  +6.758859246759209e+00 +0.000000000000000e+00 +9.999999999999842e-01 +5.462468475977893e-09 +5.731282115561953e-10 
13853.929 DavidsonIt: 117 8 118  +6.964101642243252e+00 +0.000000000000000e+00 +9.999999999999987e-01 +6.998380776621420e-09 +1.509903313490213e-14 
13855.543 DavidsonIt: 117 9 118  +6.964101669494819e+00 +0.000000000000000e+00 +1.000000000000001e+00 +7.690030389698727e-09 +2.633577800281728e-09 
13857.153 DavidsonIt: 117 10 118  +6.964102164806059e+00 +0.000000000000000e+00 +1.000000000000000e+00 +8.491297309227605e-09 +5.513438594562103e-09 
13858.768 DavidsonIt: 117 11 118  +7.142434714498471e+00 +0.000000000000000e+00 +9.999999999999942e-01 +1.117772932944652e-08 +1.127424109625963e-08 
13860.382 DavidsonIt: 117 12 118  +7.880721451685014e+00 +0.000000000000000e+00 +9.999999999999997e-01 +1.304335170961914e-08 +5.595524044110789e-14 
13861.997 DavidsonIt: 117 13 118  +7.880721694622823e+00 +0.000000000000000e+00 +1.000000000000000e+00 +1.512340769034016e-08 +6.288888521055469e-09 
13863.612 DavidsonIt: 117 14 118  +7.880722123151964e+00 +0.000000000000000e+00 +1.000000000000015e+00 +1.678436970249087e-08 +8.640851589802878e-09 
13865.226 DavidsonIt: 117 15 118  +8.011459915157451e+00 +0.000000000000000e+00 +9.999999999999998e-01 +1.932327115999273e-08 +2.868940640610163e-10 
13866.837 DavidsonIt: 117 16 118  +8.011460271653961e+00 +0.000000000000000e+00 +1.000000000000006e+00 +2.045037714169826e-08 +6.952195263920657e-09 
13868.454 DavidsonIt: 117 17 118  +8.011460428615036e+00 +0.000000000000000e+00 +9.999999999999997e-01 +2.194212981059110e-08 +7.993605777301127e-14 
13870.066 DavidsonIt: 117 18 118  +8.081876992071498e+00 +0.000000000000000e+00 +1.000000000000002e+00 +2.326952676351745e-08 +5.402574387858294e-09 
13871.681 DavidsonIt: 117 19 118  +8.156126285506694e+00 +0.000000000000000e+00 +1.000000000000002e+00 +2.639047232889793e-08 +1.119722448095217e-08 
13873.294 DavidsonIt: 117 20 118  +8.826005295578373e+00 +0.000000000000000e+00 +9.999999999999818e-01 +2.728123309788748e-08 +9.230388897663033e-09 
13874.906 DavidsonIt: 117 21 118  +8.845740265241032e+00 +0.000000000000000e+00 +9.999999999999986e-01 +2.924552682198287e-08 +1.953992523340276e-14 
13876.518 DavidsonIt: 117 22 118  +8.845740508565747e+00 +0.000000000000000e+00 +9.999999999999996e-01 +3.175321906526752e-08 +4.502796357996885e-09 
13878.132 DavidsonIt: 117 23 118  +8.845740553446605e+00 +0.000000000000000e+00 +1.000000000000002e+00 +3.291986566886643e-08 +2.296579637572904e-08 
13879.745 DavidsonIt: 117 24 118  +9.159369252513624e+00 +0.000000000000000e+00 +9.999999999999992e-01 +3.997668707708299e-08 +4.618527782440651e-14 
13881.355 DavidsonIt: 117 25 118  +9.159370108536757e+00 +0.000000000000000e+00 +9.999999999999916e-01 +4.360033791904566e-08 +3.331148690222108e-09 
13882.971 DavidsonIt: 117 26 118  +9.159370325531906e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.769554358819685e-08 +8.866448908406710e-09 
13884.586 DavidsonIt: 117 27 118  +9.956410898383373e+00 +0.000000000000000e+00 +9.999999999999882e-01 +9.200763127257036e-08 +5.121318782386197e-07 
13886.214 DavidsonIt: 117 28 119  +9.956411377443157e+00 +0.000000000000000e+00 +1.000000000000000e+00 +1.112177618139040e-07 +6.083266725909198e-07 
13887.847 DavidsonIt: 117 29 120  +9.982469492673344e+00 +0.000000000000000e+00 +9.999999999999887e-01 +2.685780765940931e-07 +2.516606331326443e-06 
13889.481 DavidsonIt: 117 30 121  +1.001633992715590e+01 +0.000000000000000e+00 +9.999999999999910e-01 +2.744038726097353e-07 +6.954338793718762e-08 
